Count_of_sizes,Name_ of_colors,Product_code
"['39', '41']",BLACK,FGC0H9025671B
[],PARIS HAT GREY,FGC0H9029961A
['42'],TOBACCO,FGC0H9034821A
['43'],BROWN,FGC0T4018061A
['43'],CAMEL,FGC051043811A
['40'],NAVY,FGC051027601A
[],GREY,FGC015034721A
['40'],KHAKI,FGC0H9024721A
"['41', '42']",CAMEL,FGC0H9028711A
"['43', '44', '45']",OLIVE/BLACK,FGC031039282A
"['41', '44']",RBLUE,FGC031028631A
[],DGREY,FGC0260U2702A
"['40', '41']",MBROWN,FGC0C3018951A
['40'],DBROWN,FGC015032381A
[],DGREY,FGC0H9015031B
"['41', '42']",BEIGE,FGC0T5018081A
"['42', '43']",CAMEL,FGC0W7030541A
"['43', '44']",SGREEN,FGC081012542A
[],CAMEL,FGC015032371A
['43'],CAMEL,FGC0L5028381B
[],BLACK,FGC031038871A
[],BLACK,FGC0H9020801A
['40'],BLACK,FGC0B3022101C
['40'],NAVY,FGC0B3023081A
[],NAVY,FGC0AA025771A
['39'],BLACK,FGC051016971A
"['40', '41', '42', '43', '44', '45']",DBROWN/WINE RED,FGF0DM033641A
"['40', '41', '42', '43', '44', '45']",BLACK,FGF0DL041921A
"['40', '41', '42', '43', '44', '45']",NEW BROWN,FGF051041881A
"['40', '41', '42', '43', '44', '45']",TAN,FGF0DL041861A
"['40', '41', '42', '43', '44', '45']",BLACK,FGF0DL041871A
"['40', '41', '42', '43', '44']",BLACK,FGF0FW041931A
,,FGF0FX041911A
"['39', '40', '41', '42', '43', '44', '45']",BLUE,FGF018044562A
"['40', '41', '42', '43', '44', '45']",BLACK,FGF0FW041891A
"['39', '40', '41', '42', '43', '44', '45']",CHERRY,FGF0C3045042A
"['39', '40', '41', '42', '43', '44', '45']",TAN,FGF018044542A
"['40', '41', '42', '43', '44', '45']",RED TAN,FGF0C3033671A
"['39', '40', '41', '42', '43', '44', '45']",BLACK,FGF0M5046322A
"['39', '40', '41', '42', '43', '44', '45']",BROWN,FGF0C3046302A
"['39', '40', '41', '42', '43', '44', '45']",BEIGE,FGF051046342A
"['39', '40', '41', '42', '43', '44', '45']",BORDO,FGF0M5046332A
"['40', '41', '42', '43', '44', '45']",NBLUE,FGF0BI041941A
"['40', '41', '42', '43', '44', '45']",BLACK,FGF0Z3022401C
"['40', '41', '42', '43', '44', '45']",COFFEE,FGF0DL041901A
"['39', '40', '41', '42', '43', '44', '45']",BLACK,FGF0C3046312A
"['39', '40', '41', '42', '43', '44', '45']",BROWN,FGF0C3046532A
